position COMBINED_rate(cM/Mb) Genetic_Map(cM)
50000 0 0
150000 0 0
250000 0 0
350000 0.2346 0.02346
450000 0.2346 0.04692
550000 1.9937 0.24629
650000 1.4073 0.38702
750000 1.0555 0.49257
850000 2.3455 0.72712
950000 3.0492 1.03204
1050000 3.401 1.37214
1150000 2.8146 1.6536
1250000 3.6355 2.01715
1350000 1.7591 2.19306
1450000 0.7037 2.26343
1550000 2.4628 2.50971
1650000 2.9319 2.8029
1750000 2.2282 3.02572
1850000 1.7591 3.20163
1950000 5.3947 3.7411
2050000 2.4628 3.98738
2150000 1.6419 4.15157
2250000 3.6355 4.51512
2350000 1.6419 4.67931
2450000 4.691 5.14841
2550000 2.5801 5.40642
2650000 2.5801 5.66443
2750000 5.7465 6.23908
2850000 2.2282 6.4619
2950000 0.9382 6.55572
3050000 1.0555 6.66127
3150000 6.9192 7.35319
3250000 2.3455 7.58774
3350000 2.3455 7.82229
3450000 5.0428 8.32657
3550000 4.2219 8.74876
3650000 1.8764 8.9364
3750000 3.6355 9.29995
3850000 7.5056 10.05051
3950000 7.3883 10.78934
4050000 6.6847 11.45781
4150000 3.6355 11.82136
4250000 7.2711 12.54847
4350000 5.7465 13.12312
4450000 4.1046 13.53358
4550000 1.8764 13.72122
4650000 1.7591 13.89713
4750000 5.1601 14.41314
4850000 9.4993 15.36307
4950000 6.3329 15.99636
5050000 5.5119 16.54755
5150000 3.5183 16.89938
5250000 7.0365 17.60303
5350000 1.8764 17.79067
5450000 3.1664 18.10731
5550000 4.2219 18.5295
5650000 2.111 18.7406
5750000 1.29 18.8696
5850000 1.5246 19.02206
5950000 2.2282 19.24488
6050000 2.3455 19.47943
6150000 1.29 19.60843
6250000 4.5737 20.0658
6350000 3.0492 20.37072
6450000 3.9874 20.76946
6550000 3.401 21.10956
6650000 3.7528 21.48484
6750000 1.5246 21.6373
6850000 3.5183 21.98913
6950000 1.8764 22.17677
7050000 10.2029 23.19706
7150000 3.9874 23.5958
7250000 2.6973 23.86553
7350000 2.4628 24.11181
7450000 1.6419 24.276
7550000 2.5801 24.53401
7650000 2.111 24.74511
7750000 2.3455 24.97966
7850000 1.5246 25.13212
7950000 8.6784 25.99996
8050000 3.9874 26.3987
